codigo_da_proposta,nome_do_negocio,etapa_do_negocio,data_de_fechamento,proprietario_do_negocio,valor,numero_de_atividades_de_vendas,e_negocio_perdido,data_da_ultima_modificacao,qtd_do_negocio
0,Comercial Infinity S.A.,Negociações Frias,2024-11-12 16:50:33,Beatriz Nogueira,4087891.17,1.0,True,2024-11-14 08:38:18,77677
1,Distribuidora Nova Era Comércio,Negociações Frias,2024-11-14 02:36:00,João Pedrosa,7582854.34,4.0,False,2024-11-14 14:50:11,75607
2,Consultoria Solaris ME,Negociações Frias,2024-11-13 16:46:26,João Pedrosa,7816656.57,2.0,True,2024-11-15 03:02:35,17858
3,Distribuidora Verde Vida Comércio,Negociações Frias,2024-11-12 15:35:21,Carlos Azevedo,8738963.18,0.0,True,2024-11-15 06:18:48,22218
4,Grupo Alfa Comércio,Desqualificado,2024-11-14 17:45:02,Beatriz Nogueira,1651893.77,4.0,True,2024-11-15 23:18:04,18151
5,Serviços Nova Era S.A.,Negócio Perdido,2024-11-13 21:20:54,João Pedrosa,3534434.66,0.0,False,2024-11-16 00:45:06,29185
6,Serviços Nova Era Comércio,Entrada,2024-11-12 20:15:13,Lívia Martins,11401234.15,2.0,True,2024-11-16 01:36:35,67465
7,Serviços Globaltech ME,Negócio Perdido,2024-11-15 11:35:55,Beatriz Nogueira,6313556.91,3.0,False,2024-11-16 19:04:31,14912
8,Distribuidora Solaris S.A.,Pré Qualificação,2024-11-16 18:22:55,Lívia Martins,2096269.98,4.0,False,2024-11-18 03:38:24,95881
9,Distribuidora Alfa ME,Negociações Frias,2024-11-13 16:19:02,Marina Costa,3078618.24,2.0,False,2024-11-18 16:05:39,10320
10,Distribuidora Nova Era EIRELI,Negócio Perdido,2024-11-12 12:19:41,João Pedrosa,6503629.75,4.0,True,2024-11-18 18:32:18,78524
11,Indústria Verde Vida EIRELI,Pré Qualificação,2024-11-16 20:12:56,João Pedrosa,7080383.3,2.0,True,2024-11-19 06:51:07,103374
12,Serviços Globaltech Ltda,Desqualificado,2024-11-15 04:24:11,Renata Silveira,8446463.59,4.0,False,2024-11-19 13:59:45,84864
13,Distribuidora Verde Vida Ltda,Pré Qualificação,2024-11-14 08:47:18,Carlos Azevedo,10179744.92,5.0,True,2024-11-19 15:02:36,95895
14,Grupo Solaris EIRELI,Negociações Frias,2024-11-14 15:44:37,Eduardo Freitas,6912671.18,2.0,True,2024-11-19 15:45:13,102397
15,Grupo Nova Era Ltda,Negociações Frias,2024-11-13 09:04:28,Eduardo Freitas,6803506.38,0.0,True,2024-11-19 16:17:48,47050
16,Serviços Alfa Comércio,Entrada,2024-11-14 20:45:58,João Pedrosa,9454500.18,2.0,False,2024-11-19 17:38:47,35527
17,Distribuidora Solaris S.A.,Oportunidades,2024-11-15 01:18:52,Lívia Martins,3573854.68,3.0,True,2024-11-19 19:33:21,87487
18,Comercial Alfa ME,Negociações Frias,2024-11-13 10:41:51,João Pedrosa,8697507.31,1.0,False,2024-11-20 01:29:07,89215
19,Serviços Nova Era Ltda,Negócio Perdido,2024-11-13 07:07:01,Renata Silveira,11749556.4,2.0,False,2024-11-20 01:52:41,93139
20,Comercial Alfa Ltda,Negócio Perdido,2024-11-19 21:25:52,Eduardo Freitas,7673278.48,1.0,True,2024-11-20 03:18:43,79847
